,E_0,Delta_0,P,m_c,g_c,gamma_1,gamma_2,gamma_3,kappa,q
InAs,0.418,0.38,0.9197,0.0229,-14.9,20.4,8.3,9.1,7.6,0.39
AlSb,2.384,0.673,0.8463,0.12,0.843,4.15,1.01,1.71,0.31,0.07
InSb,0.237,0.81,0.9641,0.0139,-51.56,37.1,16.5,17.7,15.6,0.39
